Region	Product 	Grand_Total
GC	Tech	 108 
GC	OFM	 108 
GC	Apps	 108 
GC	Tech	 108 
GC	Apps	 108 
GC	Apps	 108 
GC	Other	 108 
GC	OFM	 108 
GC	Tech	 108 
GC	Apps	 108 
GC	Tech	 108 
GC	Apps	 108 
GC	Apps	 108 
GC	Tech	 108 
GC	Tech	 108 
GC	Tech	 108 
GC	Tech	 108 
GC	Apps	 108 
GC	Apps	 108 
GC	Tech	 108 
GC	Tech	 108 
GC	Apps	 108 
GC	Apps	 108 
GC	Apps	 108 
GC	Tech	 108 
GC	Apps	 108 
GC	OFM	 108 
GC	OFM	 108 
GC	Systems	 108 
GC	Apps	 108 
GC	Tech	 108 
GC	Tech	 108 
GC	Systems	 108 
GC	Systems	 108 
GC	Apps	 108 
GC	Systems	 108 
GC	Systems	 108 
GC	Systems	 108 
GC	Systems	 108 
GC	Systems	 108 
GC	Tech	 108 
GC	OFM	 108 
GC	Tech	 108 
GC	Tech	 108 
GC	Tech	 108 
GC	Tech	 108 
GC	Tech	 108 
GC	Tech	 107 
GC	Apps	 107 
GC	Apps	 106 
GC	Apps	 106 
GC	Apps	 106 
GC	Apps	 106 
GC	Apps	 106 
GC	Apps	 106 
GC	Apps	 106 
GC	Apps	 105 
GC	Apps	 105 
GC	Apps	 105 
GC	Apps	 105 
GC	Tech	 105 
GC	Tech	 105 
GC	Tech	 105 
GC	Tech	 105 
GC	Tech	 104 
GC	Tech	 103 
GC	Tech	 103 
GC	Tech	 103 
GC	Tech	 103 
GC	Tech	 103 
GC	Tech	 103 
GC	Apps	 103 
GC	Other	 103 
GC	Other	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Tech	 103 
GC	Apps	 103 
GC	Tech	 103 
GC	Tech	 103 
GC	OFM	 103 
GC	Tech	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Tech	 103 
GC	Apps	 103 
GC	Tech	 103 
GC	Tech	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Systems	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Systems	 103 
GC	Tech	 103 
GC	Tech	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Tech	 103 
GC	Other	 103 
GC	Tech	 103 
GC	Tech	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Tech	 103 
GC	Apps	 103 
GC	Apps	 103 
GC	Tech	 103 
GC	Apps	 103 
GC	OFM	 103 
GC	OFM	 103 
GC	Tech	 103 
GC	Apps	 103 
GC	Apps	 102 
GC	OFM	 101 
GC	Apps	 100 
GC	Apps	 100 
GC	Apps	 100 
GC	Apps	 100 
GC	Tech	 100 
GC	Tech	 100 
GC	Tech	 100 
GC	Tech	 100 
GC	Tech	 100 
GC	Tech	 100 
GC	Tech	 100 
GC	Apps	 100 
GC	Apps	 100 
GC	Apps	 100 
GC	Apps	 100 
GC	Apps	 100 
GC	Tech	 99 
GC	Tech	 98 
GC	OFM	 98 
GC	Tech	 97 
GC	Systems	 96 
GC	Tech	 95 
GC	Apps	 95 
GC	Apps	 95 
GC	Apps	 95 
GC	Apps	 93 
GC	Apps	 93 
GC	Apps	 93 
GC	Apps	 93 
GC	Apps	 92 
GC	Tech	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	OFM	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	OFM	 92 
GC	OFM	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	OFM	 92 
GC	Tech	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	OFM	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	Apps	 92 
GC	OFM	 92 
GC	Systems	 92 
GC	Apps	 92 
GC	Tech	 92 
GC	Systems	 92 
GC	Systems	 92 
GC	Systems	 92 
GC	Systems	 92 
GC	Systems	 92 
GC	Systems	 92 
GC	Systems	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Tech	 92 
GC	Apps	 91 
GC	Tech	 90 
